PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
9.132205e-5,"Any[0.0006002766607540622, 0.0005900745477934208, 0.000589850586113094]","Any[0.0039233271032972136, 0.0030868013170212176, 0.0021861951698190336]",1,70774,0.0034479956705783374,2.0526127861445073e7,[25 50 75]
9.796709e-5,"Any[0.006763393348222468, 0.006877144828669839, 0.006898758705387865]","Any[0.0019584011671970165, 0.0006027702631223722, 0.00025280723959822843]",1,72941,0.0035557410434024434,2.0513586087867547e7,[25 50 75]
7.869675e-5,"Any[2.2204460492453832e-16, 2.2204460492453832e-16, 2.2204460492453827e-16]","Any[0.013919245733305267, 7.776854173759336e-5, 8.663575468407381e-7]",2,60137,0.0029429006228285427,2.0434600996550083e7,[25 50 75]
0.8462366,"Any[0.009897060422272829, 0.009864232312396458, 0.009858410990576022]","Any[0.009888139755909313, 0.004971500812069379, 0.004026128345585002]",0,76903,0.0037646899613725127,2.0427445762881115e7,[25 50 75]
9.55269e-5,"Any[2.2204460626369814e-16, 2.2204460510360383e-16, 2.2204460497295155e-16]","Any[0.002157774603468967, 0.0011907543867527087, 0.0003055518774987311]",1,79067,0.0038539458207904167,2.0515856650985282e7,[25 50 75]
0.05101842,"Any[0.032121548732092726, 2.5291122794471126e-7, 1.3873917418204084e-9]","Any[0.005790856090511294, 0.009279060110732389, 0.0137784463666056]",0,45636,0.0022241839024132806,2.0518087533357333e7,[25 50 75]
9.657047e-5,"Any[0.00832744975922923, 0.008476908012198657, 0.008504206583860592]","Any[0.006388512325302117, 0.007556704950456404, 0.008306003667370632]",4,67767,0.0033086112035449304,2.048200765547572e7,[25 50 75]
0.999801,"Any[0.9999998897328559, 0.9999999999936093, 0.9999999999972387]","Any[0.14561201619164013, 0.20908260298934905, 0.32654970419877194]",0,51113,0.002493045097970787,2.0502236418267526e7,[25 50 75]
9.777336e-5,"Any[0.01896131673427098, 0.0189508295282593, 0.018950950403657157]","Any[0.009933623569986772, 0.010545443527352729, 0.013190484466191482]",4,72304,0.003531455902132456,2.047427520087098e7,[25 50 75]
9.8682074e-5,"Any[0.0033565856761656496, 0.0035570199609556243, 0.0036131210207668734]","Any[0.0034842664759665567, 0.0036383505507228764, 0.0038948187536056527]",5,78861,0.003842921183812709,2.0521107831245966e7,[25 50 75]
0.18448494,"Any[0.0010610137198969, 0.0009124223061183971, 0.0008853801791074278]","Any[0.002750073831432294, 0.0007653834071885063, 0.00025802656162382065]",0,73581,0.003593594787448703,2.047559737591876e7,[25 50 75]
9.9475394e-5,"Any[2.306628282954121e-6, 1.5693513329228418e-7, 3.35279057680044e-8]","Any[2.2204483282590474e-16, 2.2204460492453822e-16, 2.2204460492453827e-16]",3,39609,0.0019396504912450952,2.0420689283343155e7,[25 50 75]
0.00028998422,"Any[2.8111768710244713e-11, 0.0006045501154842129, 0.0008494196726333221]","Any[0.005290052784535449, 0.004936729733735157, 0.0001589236601491595]",5,36497,0.0017823138756071822,2.0477313507738102e7,[25 50 75]
0.14857659,"Any[0.0029595454863657195, 0.0023316971569695864, 0.00225738586176253]","Any[0.0078624649267788, 0.005244838041575379, 0.002060720665820952]",0,66732,0.0032546702792418543,2.050345942125499e7,[25 50 75]
9.947124e-5,"Any[2.0666825758480691e-10, 1.7593213089084517e-10, 1.7130972325257231e-10]","Any[3.2498827640199267e-7, 2.0961103607368997e-10, 2.2864438732646263e-12]",3,68458,0.0033506553957093517,2.0431226704979334e7,[25 50 75]
6.588429e-5,"Any[0.011725200905399066, 0.012124461833499968, 0.012218836943863881]","Any[0.010204059263962596, 0.011277231054803069, 0.012097502461335233]",1,72780,0.0035622911818683455,2.0430671240588605e7,[25 50 75]
0.9965422,"Any[0.02743659443090485, 7.030363783178318e-5, 0.00018443357922595386]","Any[0.04030067816253977, 0.03400110258382587, 0.020610056249406043]",0,70403,0.0034382183382507675,2.0476593710397787e7,[25 50 75]
0.028657285,"Any[9.432793347126624e-10, 4.62902379260477e-10, 3.566753938880574e-10]","Any[3.2871682941356276e-5, 4.4010748502710847e-7, 3.8535356731580525e-8]",0,70524,0.003455703425334697,2.0408001300970875e7,[25 50 75]
