PIQ_KL_FORWARD_DIVS,MDS_KL_FORWARD_DIVS,LANDMARK_KL_FORWARD_DIVS,PIQ_KL_BACKWARD_DIVS,MDS_KL_BACKWARD_DIVS,LANDMARK_KL_BACKWARD_DIVS,REAL_Q_CROSS_ENTROPY,PIQ_CROSS_ENTROPY,MDS_CROSS_ENTROPY,LANDMARK_CROSS_ENTROPY,REAL_Q_TREE_PROBS,PIQ_TREE_PROBS,MDS_TREE_PROBS,LANDMARK_TREE_PROBS,REAL_Q_ROOT_PROB_OF_START_INDICES,PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
1.1708635461406742,"Any[0.5037686856655121, 0.503388211885788, 0.4791417814277457, 0.4357558149159553, 0.32816713215446824]","Any[2.233318758905148, 1.9342240810197564, 1.7709531458066436, 1.5374848229835032, 1.3602111586764503]",1.8006444921689682,"Any[4.14017445319937, 4.132157340784095, 3.8727969327049214, 2.9576865801758205, 1.8630737667710702]","Any[17.990048516735538, 16.8178193096817, 15.152145724111817, 14.237556657312515, 12.201539416054693]",29.717633495334017,8.30973975916264,"Any[0.8485620647012957, 0.7780506049995306, 0.8142924763777472, 0.7750738316965432, 0.687869022144818]","Any[1.5635403576181264, 1.3449220386456568, 1.322876841371651, 1.3598169491850736, 1.322342154882749]",0.8945725943784424,0.8910085161140404,"Any[0.6290746424481812, 0.6630962843352998, 0.6683390659471804, 0.6761203501446195, 0.7130014317613711]","Any[0.3738451582891715, 0.44178752406139715, 0.46428677896063253, 0.4955627272440531, 0.5183763641003224]",0.5616745987697913,0.8379211357541829,"Any[0.2680677700272416, 0.2681715091590355, 0.27579576793695737, 0.28800337094226774, 0.32055339104547304]","Any[0.046191031246885235, 0.06240425722329257, 0.07348262580223558, 0.09301682022368876, 0.11099970695260204]",0,4522,0.008748719968464118,516875.6133811722,"[3, 4, 5, 6, 7]"
2.1643168950380396,"Any[0.4907234354917427, 0.4898750428244745, 0.405623043078206, 0.38089491327388014, 0.3799324966044868]","Any[1.2950613218156877, 0.8464401384992113, 0.8901834210949491, 0.8765392951639639, 0.8688496390685079]",7.903213365400273,"Any[1.0010073394473233, 1.019383063519934, 0.7186362963318418, 0.6296910271428932, 0.6040585102463346]","Any[4.523603618562501, 1.78489831049942, 1.8037634079911624, 1.737655496936577, 1.7270183320347454]",15.253160032311605,5.9266548646986,"Any[1.1774382557244594, 1.2670460702335904, 1.3259398953984773, 1.32584414754019, 1.185964692497035]","Any[2.3224740015050074, 1.68559361492952, 1.6829285937420628, 1.7210807749883554, 1.7637915575414278]",0.882880705323299,0.8890278622504016,"Any[0.5052037122581022, 0.5284342324170784, 0.5748929060887106, 0.630853288929525, 0.6781419994245982]","Any[0.3269558353676384, 0.5107533402986782, 0.5181655483338523, 0.5170995292813972, 0.5193297766898087]",0.27644718454692563,0.040686508714275246,"Any[0.11096979789837128, 0.11297862654448354, 0.13557359613805592, 0.14906189305075526, 0.15113607398615336]","Any[0.0535738437552145, 0.11289294427766292, 0.1144715384911793, 0.11773827908193238, 0.12098203185525151]",0,1353,0.002580098994622103,524398.4834768593,"[3, 4, 5, 6, 7]"
3.03603334192908,"Any[0.5878041818635068, 0.5836198445441885, 0.5358493425281644, 0.5721585215540722, 0.5902114384956173]","Any[1.025323150982446, 0.8226472238789857, 0.9040359391444187, 0.9522162859073711, 0.9798532087415752]",16.354686853743654,"Any[1.3826570472596469, 1.370109558848679, 1.0283558827972914, 0.8561893391231452, 0.8474924218446886]","Any[2.7902699692052124, 2.144335792777612, 2.12006560460323, 2.0311335047598105, 1.896285774072116]",8.211549999391114,5.476543078622384,"Any[0.8154894225555998, 0.8486951735729126, 0.8189684049988544, 0.8255840157780849, 0.8160213944346707]","Any[1.7811808408274867, 1.2560405582670897, 1.2788520673584076, 1.2997544034381194, 1.3522081572568743]",0.9137800454189096,0.9197158440219637,"Any[0.7236051081127889, 0.7258837218270697, 0.7494797236976851, 0.79630704382653, 0.8135197091937524]","Any[0.40463721126689434, 0.5856254917302323, 0.5876436425089502, 0.5974330050682725, 0.6067112556775868]",0.12654044459960526,0.004080005634541165,"Any[0.06275886007254583, 0.06303586777217399, 0.07284921377176169, 0.08037792600156522, 0.08092967004008171]","Any[0.04113524117118645, 0.05419852957675984, 0.05694226934384445, 0.058784490955981684, 0.062246042227891]",3,1045,0.0020060503154991412,520924.12235432153,"[3, 4, 5, 6, 7]"
0.8128867572719184,"Any[1.2329881459554775, 1.106403678635636, 0.9904145498645478, 0.9146160614060257, 0.9083584477338598]","Any[1.9114637800937382, 1.7029738308222162, 1.6799713036701749, 1.6293430102602058, 1.597442579294903]",0.16504879849470722,"Any[2.6688881661555177, 2.6015159824052434, 2.2353969930749416, 1.8766609394995137, 1.851629272828168]","Any[8.689877801584881, 4.9528597413834445, 4.619988457867959, 4.387838552272171, 4.2360950310947345]",11.14827189435443,11.751666455303818,"Any[0.6089635114161219, 0.5093642005113458, 0.5809261406599198, 0.6213540268034574, 0.5879662980637504]","Any[1.5965016176066615, 1.034407551110675, 1.0700780909942773, 1.1684227066222646, 1.2491295765320178]",0.9795116496731371,0.9797172249681138,"Any[0.746346773095243, 0.8361595865917636, 0.861729621660138, 0.8815785140369042, 0.8839182407370131]","Any[0.4538274738844837, 0.598673344090898, 0.6236673190514135, 0.6426942584023132, 0.6514610355999607]",0.008176553319731415,1.0778118677418878e-6,"Any[0.1664888717722967, 0.19200366918931192, 0.2026953671867017, 0.20872416835090915, 0.20920153630801744]","Any[0.08943006387852058, 0.11189764341209897, 0.11627725954679352, 0.12253762430312576, 0.1253607437619768]",1,456,0.000873851080092246,521828.04414667934,"[3, 4, 5, 6, 7]"
3.013105386704242,"Any[1.4957980529305563, 1.4749888001176685, 1.2940319401025533, 0.9532955279319263, 0.5325938582272883]","Any[2.3222845666668603, 1.5500115953682938, 1.5176341541660023, 1.4924633905507059, 1.4697253810457755]",18.69229808003154,"Any[9.18019716911887, 9.2904069865763, 8.90819994791505, 6.151474996363314, 4.746710517180231]","Any[13.901527593439166, 10.683580821174923, 10.648383057246473, 10.478969451418553, 10.363102951333294]",17.54384488595633,5.516425574726304,"Any[2.0990177711160976, 2.2919850306724068, 2.2999609455030363, 2.1726239296347716, 1.848978310811186]","Any[3.295012884627182, 2.3719386543410854, 2.434532042065431, 2.4863886770790518, 2.5329581379190866]",0.6968594217651278,0.7142704951469712,"Any[0.24306487785742728, 0.2525095971305573, 0.2656593786337787, 0.31561041061343664, 0.4442579499762127]","Any[0.1355891766288337, 0.23694192137174588, 0.2376033012465068, 0.23735804983335387, 0.23761683366459407]",0.5370814821910296,0.022070961329932682,"Any[0.10451126271384689, 0.1072035013411205, 0.129776490735891, 0.1832687568380442, 0.2783663480519522]","Any[0.04626058650208013, 0.10072542915978887, 0.10459221062685936, 0.10782732404127585, 0.11088042973645242]",0,2866,0.005559833734745733,515483.040812743,"[3, 4, 5, 6, 7]"
2.7055517752458433,"Any[2.891768820629243, 3.0722690131954513, 3.324884539813958, 3.4244301429269717, 2.0957010848861417]","Any[3.5948476308751545, 2.9470132396204565, 3.149230586727566, 4.273093467063629, 5.675967075270593]",9.930619310324966,"Any[9.096894184033733, 9.373671356206609, 9.189891993601508, 7.993425585016769, 0.8654544437269398]","Any[10.97974279033371, 10.31822069089507, 10.08116162694157, 12.659334367957996, 13.978162454071901]",16.621398176844647,5.522073868823999,"Any[0.7707953863385562, 0.767429270529254, 0.7234566289929671, 0.7070003789627073, 0.6480720145753966]","Any[1.4453541458856751, 1.12997446473932, 1.0700942982495298, 1.0990481047662022, 1.1054919457262646]",0.8917831928058586,0.8945663000847729,"Any[0.646960568176802, 0.6732226376713494, 0.7045251682708706, 0.7236484844521563, 0.7644149408638614]","Any[0.45725352472261976, 0.5888242407982903, 0.6051842629733212, 0.6297212738449202, 0.6569417948309481]",0.15250228316959016,0.00707089779098334,"Any[0.013699703946236081, 0.014072594791362067, 0.016173598572871487, 0.022680931889376046, 0.10741060398164602]","Any[0.007181258779363659, 0.017697131388243557, 0.01948736583330001, 0.008289038778404863, 0.003460552283282711]",1,4514,0.008579554789303436,526134.52689035,"[3, 4, 5, 6, 7]"
0.08546372568947107,"Any[0.17379703692153553, 0.2549651716857278, 0.38387381842152707, 0.4113254597510919, 0.7238272807247216]","Any[0.23010935278967118, 0.2947181870578315, 0.297958061015695, 0.4685677762406954, 0.667871932544215]",0.7790930182719368,"Any[0.059968918723438465, 0.1283681124559533, 0.18444095199219457, 0.18121317385283323, 0.3041355253209807]","Any[0.06882671799878227, 0.08946770163993559, 0.08881923358058857, 0.1644442726697391, 0.2409213790825602]",14.605005275521336,7.795682322987515,"Any[0.4138473710629174, 0.4467383627296139, 0.45692627101832967, 0.49973797302750195, 0.5129075619497495]","Any[0.40404667989904136, 0.439325662867823, 0.48412404739949144, 0.5207702152711396, 0.5634230484840397]",0.9668409852576512,0.9699279430312912,"Any[0.8686635093485007, 0.8686206740614615, 0.8839835563757943, 0.8844810263215945, 0.8873505350723094]","Any[0.8884719135468941, 0.8950119519307705, 0.9003868761163499, 0.9026690809866161, 0.9077290183445675]",0.5697734535921828,0.5796813021948122,"Any[0.7221887962549706, 0.8025184732629506, 0.847782119862659, 0.8454565686367309, 0.9175879594062423]","Any[0.7352227667446135, 0.7619232667454447, 0.7611537299421002, 0.8328848389559482, 0.884203588581596]",0,471,0.0009004610122470162,523065.40049375774,"[3, 4, 5, 6, 7]"
1.8513248619328682,"Any[0.046244827548399786, 0.04619539750474379, 0.039152274258771574, 0.032314490090115965, 0.04129212268010731]","Any[6.277143278519449, 5.118125199446993, 7.41654179266968, 10.300156925488336, 13.12153059119213]",0.5864986122987984,"Any[0.07488042237968334, 0.07472165464062792, 0.05852659328296059, 0.03183368182280535, 0.010163282768795686]","Any[27.348405367716772, 17.577219111559653, 18.61075913930887, 20.89742123922524, 22.313029652446357]",30.88689304621072,11.932410792467142,"Any[1.0393185515929144, 1.0292551764026447, 1.000136424929114, 0.9675980017585961, 0.9310323135479414]","Any[2.363589847725533, 1.4597207176867317, 1.5043520149975262, 1.5480828395428234, 1.5921913445397562]",0.8207162207882056,0.8359569038165938,"Any[0.5704117435823302, 0.5738152315234383, 0.5859207429608883, 0.6349413133128757, 0.6861748310682484]","Any[0.26712238464282373, 0.5132293617152265, 0.514457256985075, 0.5146771977981187, 0.5139584857211514]",0.5553830329554006,0.9956482010842463,"Any[0.48115311429543994, 0.4811951488984769, 0.4866226720282991, 0.49697221260821217, 0.5078558639702663]","Any[0.01673697085793191, 0.08997559367778775, 0.0635329808031261, 0.043603521851069645, 0.026720647444492394]",0,1906,0.003795929046615983,502116.8669364808,"[3, 4, 5, 6, 7]"
0.2287131551605006,"Any[0.8562391003829694, 0.8560482960115445, 0.794304555755295, 0.687218548347371, 0.6248128631793213]","Any[2.533768104104628, 1.9533901730382734, 1.8852826203493032, 1.8101547292719997, 1.7315890829258167]",2.004616203909533,"Any[2.6577373344937527, 2.6552275800158807, 2.517437909187824, 1.7048683274919991, 1.300267621182605]","Any[15.510128111337321, 9.620225814400676, 8.978401665498684, 8.556700838683971, 8.17593792338467]",26.78178231085242,7.769325257245524,"Any[0.7323107750153849, 0.753244956265075, 0.7905442121451968, 0.8489448040412005, 0.8469634443354016]","Any[1.935660242762736, 1.3014715802318395, 1.3348953937774088, 1.339524054610429, 1.3878378122533395]",0.9566830842067573,0.9573881046697212,"Any[0.7229670301626453, 0.7307928178482558, 0.7741210723063341, 0.8140365424106459, 0.8217854063782092]","Any[0.32437312718820616, 0.5431610196277794, 0.550920001848262, 0.5666052403978495, 0.5801404177629111]",0.9441573963343711,0.9207968177164086,"Any[0.3408111549877441, 0.3408789936385844, 0.3659341635979698, 0.4098035317972963, 0.4398480131536149]","Any[0.06080927948459531, 0.10931554087624232, 0.1170530311501284, 0.1269866340066988, 0.13838756962187293]",0,714,0.0013898108772282983,513738.9638394047,"[3, 4, 5, 6, 7]"
1.4239060065894822,"Any[3.5797030709611564, 3.494139677571902, 3.282929227362446, 2.7189021235305826, 1.50510337216803]","Any[3.950348258049663, 3.318260496459984, 3.2948900584690914, 3.2861551705089576, 3.311688602693863]",21.033063448005866,"Any[30.092154963347276, 29.984403668819482, 29.3957941427173, 27.198617644678873, 24.86483112437381]","Any[27.45959086757023, 25.480665153469726, 25.473199261318037, 25.701650699354534, 25.93961221841411]",33.00986604928562,5.660832531624025,"Any[2.0598100997698103, 2.111692248538024, 2.107355337148427, 2.0439168150562934, 1.750368206570271]","Any[3.2797086942033857, 2.764501845785716, 2.8438080879991454, 2.9772114299333956, 3.062312186979193]",0.7422178894443335,0.7491529690181452,"Any[0.29113151740526294, 0.33146345010111844, 0.3488969234862591, 0.3778164761179206, 0.44778150308950215]","Any[0.19188839314908523, 0.2358649685297667, 0.24049806996293135, 0.24139153610519865, 0.24579329159451332]",0.90601258904876,0.2141585530636879,"Any[0.019645033668603998, 0.021402632708776834, 0.026303154605096656, 0.04878057481164199, 0.20338449762777397]","Any[0.012756127715354577, 0.023859547257798312, 0.02446772760972738, 0.02474058370384611, 0.024219901951700665]",0,2663,0.005145851101857918,517504.2859360077,"[3, 4, 5, 6, 7]"
